Accelerogram: G:\¿ÆÑÐ\Pulse_Phase3\OpenSees\InelasticSDOF\bin\GMFiles\0219_RSN1044\RSN1044_DirRot2.AT2
Constant Ductility Inlastic Spectrum. Number of Displacement Ductility Factors: 3
 
        Period [sec]	        Acc./Elastic	      Acc./Duct.=2.0	      Acc./Duct.=4.0	      Acc./Duct.=6.0	        Vel./Elastic	      Vel./Duct.=2.0	      Vel./Duct.=4.0	      Vel./Duct.=6.0	        Dsp./Elastic	      Dsp./Duct.=2.0	      Dsp./Duct.=4.0	      Dsp./Duct.=6.0	     PS-Acc./Elastic	     PS-Vel./Elastic	
               3.000	             0.18417	             0.11373	             0.08429	             0.07185	           129.64666	            98.53269	            99.95464	            97.55791	            40.74645	            42.67858	            58.88118	            71.35339	             0.18220	            85.33910	
               3.050	             0.18377	             0.11300	             0.08317	             0.07111	           128.08344	           100.50840	           100.91911	            97.92309	            41.98340	            44.24709	            60.02669	            73.18845	             0.18162	            86.48827	
               3.100	             0.18253	             0.11270	             0.08216	             0.07040	           126.42119	           102.46475	           101.81825	            98.24903	            43.10816	            45.71220	            61.37914	            74.84707	             0.18052	            87.37301	
               3.150	             0.18075	             0.11224	             0.08187	             0.06969	           124.74303	           104.37989	           102.67849	            98.52146	            44.07051	            47.31257	            63.08651	            76.41540	             0.17874	            87.90569	
               3.200	             0.17842	             0.11218	             0.08137	             0.06886	           123.03946	           106.27636	           103.48218	            98.65026	            44.88107	            48.40317	            64.95999	            77.87486	             0.17638	            88.12370	
               3.250	             0.17558	             0.11131	             0.08087	             0.06763	           121.26343	           108.04589	           104.26137	            98.40045	            45.76256	            49.72127	            66.50423	            78.74929	             0.17435	            88.47213	
               3.300	             0.17727	             0.11059	             0.08005	             0.06639	           124.52001	           109.73808	           104.94443	            98.03964	            47.72436	            50.97719	            68.08240	            79.53758	             0.17636	            90.86689	
               3.350	             0.17827	             0.10981	             0.07930	             0.06513	           130.21037	           111.32445	           105.55897	            97.60650	            49.38038	            52.24307	            69.42054	            80.19228	             0.17707	            92.61665	
               3.400	             0.17768	             0.10897	             0.07850	             0.06385	           134.88120	           112.80677	           106.11096	            97.07856	            50.68007	            53.40644	            70.62139	            80.71049	             0.17643	            93.65648	
               3.450	             0.18026	             0.10783	             0.07742	             0.06258	           138.67037	           114.14780	           106.52861	            96.48164	            53.00073	            54.59179	            71.72745	            81.19103	             0.17920	            96.52554	
               3.500	             0.18458	             0.10805	             0.07618	             0.06132	           141.50008	           115.74028	           106.86304	            95.81897	            55.76626	            56.00709	            72.66583	            81.59897	             0.18320	           100.11127	
               3.550	             0.18761	             0.10734	             0.07323	             0.06069	           143.25593	           117.05676	           106.48672	            95.11121	            58.26840	            57.81270	            71.06685	            81.90521	             0.18607	           103.12981	
               3.600	             0.18951	             0.10729	             0.07134	             0.05950	           143.96772	           118.45231	           105.70015	            95.30029	            60.49834	            59.22132	            71.09761	            82.16957	             0.18786	           105.58944	
               3.650	             0.19039	             0.10670	             0.06963	             0.05832	           143.68472	           119.67079	           104.81338	            95.90968	            62.45012	            60.48176	            71.18411	            82.39111	             0.18864	           107.50283	
               3.700	             0.19032	             0.10494	             0.06815	             0.05717	           142.47134	           120.35552	           104.02023	            96.54522	            64.11680	            61.38877	            71.09441	            82.53608	             0.18848	           108.88038	
               3.750	             0.18937	             0.10317	             0.06649	             0.05604	           140.40313	           120.93345	           103.00067	            97.23119	            65.48938	            61.86309	            71.09371	            82.64779	             0.18741	           109.72842	
               3.800	             0.18760	             0.10073	             0.06491	             0.05494	           137.56326	           121.24303	           101.97930	            97.93233	            66.56424	            62.08396	            70.99670	            82.70256	             0.18551	           110.06186	
               3.850	             0.18504	             0.09829	             0.06328	             0.05376	           135.87059	           121.25798	           100.91810	            98.73474	            67.38056	            61.99753	            70.86569	            82.54476	             0.18294	           109.96473	
               3.900	             0.18190	             0.09636	             0.06177	             0.05252	           136.11464	           121.34355	            99.83212	            99.62822	            67.89876	            61.85849	            70.72747	            82.01635	             0.17965	           109.38978	
               3.950	             0.17804	             0.09385	             0.06032	             0.05133	           136.27408	           121.02689	            98.72383	           100.52564	            68.11870	            61.59238	            70.52836	            81.49917	             0.17570	           108.35494	
               4.000	             0.17367	             0.09158	             0.05899	             0.05018	           136.32883	           120.68884	            97.58852	           101.40849	            68.10412	            61.41524	            70.17641	            80.98853	             0.17129	           106.97762	
