Accelerogram: G:\¿ÆÑÐ\Pulse_Phase3\OpenSees\InelasticSDOF\bin\GMFiles\0219_RSN1044\RSN1044_DirRot2.AT2
Constant Ductility Inlastic Spectrum. Number of Displacement Ductility Factors: 3
 
        Period [sec]	        Acc./Elastic	      Acc./Duct.=2.0	      Acc./Duct.=4.0	      Acc./Duct.=6.0	        Vel./Elastic	      Vel./Duct.=2.0	      Vel./Duct.=4.0	      Vel./Duct.=6.0	        Dsp./Elastic	      Dsp./Duct.=2.0	      Dsp./Duct.=4.0	      Dsp./Duct.=6.0	     PS-Acc./Elastic	     PS-Vel./Elastic	
        Period [sec]	        Acc./Elastic	      Acc./Duct.=2.0	      Acc./Duct.=4.0	      Acc./Duct.=6.0	        Vel./Elastic	      Vel./Duct.=2.0	      Vel./Duct.=4.0	      Vel./Duct.=6.0	        Dsp./Elastic	      Dsp./Duct.=2.0	      Dsp./Duct.=4.0	      Dsp./Duct.=6.0	     PS-Acc./Elastic	     PS-Vel./Elastic	
               0.000	             0.69718	             0.69718	             0.69718	             0.69718	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.00000	             0.69718	             0.00000	
               0.050	             0.71838	             0.67398	             0.66229	             0.65577	             1.61610	             1.61610	             1.61610	             1.83806	             0.04462	             0.08246	             0.16047	             0.23577	             0.71824	             5.60697	
               0.100	             1.12086	             0.82281	             0.73317	             0.69798	             7.73641	             8.06746	             8.47329	             9.11578	             0.27793	             0.38685	             0.68291	             0.96885	             1.11846	            17.46257	
               0.150	             1.33749	             0.97873	             0.77736	             0.72006	            23.93334	            19.96780	            16.55180	            17.31495	             0.74569	             1.02582	             1.58632	             2.19294	             1.33373	            31.23555	
               0.200	             1.38738	             0.99189	             0.86410	             0.78610	            29.43818	            31.16930	            29.26821	            29.33866	             1.37532	             1.80977	             3.06843	             4.13036	             1.38368	            43.20700	
               0.250	             1.98989	             1.13263	             0.86829	             0.77126	            74.47104	            48.05992	            39.73043	            38.27961	             3.07700	             3.23335	             4.76499	             6.28573	             1.98124	            77.33345	
               0.300	             1.49766	             0.82218	             0.73662	             0.67988	            59.76214	            44.20233	            47.27243	            49.88446	             3.33892	             3.38747	             5.70525	             7.70731	             1.49298	            69.93002	
               0.350	             1.35087	             0.95093	             0.81565	             0.74405	            55.65975	            56.33871	            56.16255	            59.51923	             4.10274	             5.31858	             8.73557	            11.65054	             1.34781	            73.65220	
               0.400	             1.46448	             1.02211	             0.81473	             0.72136	            88.58510	            62.89722	            68.84404	            67.22472	             5.80462	             7.47587	            11.28757	            14.80756	             1.45997	            91.17870	
               0.450	             1.65499	             0.96461	             0.69433	             0.59027	           110.21219	            85.19205	            80.48586	            74.77658	             8.28958	             8.62031	            11.65381	            14.62058	             1.64739	           115.74426	
               0.500	             1.93716	             1.11143	             0.75412	             0.59774	           134.07728	           104.80502	            93.22740	            82.17147	            11.99050	            12.32379	            15.80334	            18.36505	             1.93013	           150.67696	
               0.550	             2.04940	             1.33766	             0.67857	             0.58258	           157.25477	           129.78189	            96.27617	            88.17005	            15.30420	            18.27615	            17.04044	            21.66708	             2.03599	           174.83467	
               0.600	             2.13843	             1.39229	             0.66167	             0.53820	           203.59450	           151.43270	           102.40328	            92.87259	            19.02614	            22.45918	            19.75101	            23.59861	             2.12686	           199.24107	
               0.650	             2.24404	             1.36440	             0.64493	             0.47979	           248.22640	           172.28075	           107.97719	            96.00404	            23.46262	            25.76117	            22.59145	            24.24395	             2.23481	           226.79980	
               0.700	             2.22262	             1.12456	             0.58907	             0.41769	           259.23793	           163.98555	           109.52618	            97.60702	            26.93764	            23.97206	            23.80818	            24.00294	             2.21235	           241.79145	
               0.750	             2.00326	             0.77944	             0.46243	             0.36242	           233.08225	           137.28115	           106.62071	            99.22281	            27.84319	            18.55397	            20.73756	            23.32659	             1.99199	           233.25839	
               0.800	             1.69591	             1.07847	             0.40472	             0.34559	           194.41781	           178.23760	           107.89650	           100.30383	            26.82625	            30.24336	            20.21688	            25.32504	             1.68682	           210.69267	
               0.850	             1.44925	             0.91652	             0.38885	             0.33479	           170.28478	           161.35190	           110.17629	           100.92226	            25.86409	            28.88630	            21.96842	            27.87402	             1.44062	           191.18677	
               0.900	             1.33338	             0.84296	             0.38230	             0.32928	           167.68214	           155.10542	           112.38624	           107.55827	            26.64305	            29.60781	            24.29007	            30.54063	             1.32370	           186.00339	
               0.950	             1.32648	             0.83772	             0.37657	             0.30385	           180.27088	           164.00089	           114.07520	           116.82695	            29.54569	            32.76331	            26.88777	            30.23829	             1.31746	           195.41147	
               1.000	             1.35850	             0.86043	             0.36830	             0.26677	           199.52159	           184.15887	           114.29520	           116.91786	            33.46362	            37.11321	            29.40822	            28.61495	             1.34668	           210.25794	
               1.050	             1.37586	             0.50270	             0.36016	             0.24851	           219.31939	           145.41488	           119.98419	           117.18250	            37.46435	            22.69420	            31.50100	            29.10666	             1.36751	           224.18593	
               1.100	             1.35871	             0.50539	             0.31776	             0.23436	           236.17171	           149.73249	           126.76423	           117.22809	            40.58830	            25.66744	            29.40748	            29.96784	             1.34991	           231.83966	
               1.150	             1.30933	             0.53418	             0.28004	             0.22241	           252.19909	           158.19660	           125.08072	           117.10931	            42.82212	            30.12074	            27.66826	            30.96677	             1.30305	           233.96444	
               1.200	             1.24486	             0.56396	             0.26179	             0.21189	           266.26797	           166.44935	           124.65866	           116.90757	            44.36686	            35.34351	            27.99900	            32.07682	             1.23990	           232.30413	
               1.250	             1.17891	             0.59061	             0.24758	             0.20105	           273.01440	           168.80379	           124.13877	           116.06933	            45.55158	            39.96863	            28.51022	            32.99006	             1.17320	           228.96704	
               1.300	             1.09867	             0.46223	             0.23408	             0.19175	           271.78111	           157.57107	           123.16934	           115.52516	            45.86882	            32.14384	            29.11718	            33.93718	             1.09225	           221.69388	
               1.350	             1.01033	             0.35229	             0.22211	             0.18154	           263.49311	           147.85468	           122.23554	           114.05130	            45.48743	            25.43369	            29.79714	            34.62682	             1.00442	           211.70792	
               1.400	             0.94620	             0.31650	             0.21069	             0.17278	           249.98345	           143.64146	           120.90319	           112.91937	            45.70135	            24.33287	            30.29151	            35.40073	             0.93835	           205.10702	
               1.450	             0.88840	             0.30276	             0.20085	             0.16437	           230.60642	           143.14109	           119.62797	           111.49865	            46.02673	            25.07708	            30.92212	            36.03944	             0.88098	           199.44432	
               1.500	             0.82103	             0.28986	             0.19460	             0.15657	           221.73900	           142.40932	           118.86643	           110.10176	            45.51845	            25.70452	            32.17417	            36.75990	             0.81413	           190.66708	
               1.550	             0.74732	             0.27326	             0.18838	             0.15006	           228.81962	           140.71319	           118.09748	           108.85609	            44.23950	            26.32623	            33.33348	            37.67506	             0.74103	           179.33211	
               1.600	             0.67009	             0.26480	             0.18168	             0.14442	           233.11192	           139.84354	           116.97527	           107.74050	            42.26288	            27.45969	            34.44887	            38.68734	             0.66437	           165.96579	
               1.650	             0.59147	             0.25390	             0.17546	             0.13897	           234.05339	           138.09879	           115.66702	           106.75204	            39.66737	            28.50231	            35.44058	            39.61124	             0.58635	           151.05285	
               1.700	             0.54924	             0.23936	             0.16603	             0.13358	           231.63967	           136.12212	           114.17914	           105.65669	            39.14121	            29.50233	            36.30941	            40.44418	             0.54504	           144.66544	
               1.750	             0.53594	             0.22641	             0.16009	             0.12991	           227.04706	           133.60291	           112.67983	           104.90135	            40.45187	            30.43306	            37.11518	            41.80035	             0.53156	           145.23794	
               1.800	             0.51886	             0.22212	             0.14902	             0.12580	           220.96607	           131.51847	           111.18578	           104.06561	            41.44029	            31.19015	            37.82219	            42.89390	             0.51472	           144.65376	
               1.850	             0.50016	             0.21543	             0.14677	             0.12231	           213.11260	           128.78284	           110.53695	           103.77502	            42.09644	            32.02807	            39.51276	            44.84329	             0.49498	           142.97270	
               1.900	             0.47901	             0.21064	             0.13984	             0.11909	           204.01508	           126.24044	           109.23050	           103.46230	            42.54133	            32.68343	            40.39061	            46.67216	             0.47424	           140.68148	
               1.950	             0.45672	             0.20406	             0.13324	             0.11671	           194.12713	           123.21058	           107.45906	           103.04418	            42.71007	            33.35637	            40.10557	            48.37278	             0.45201	           137.61797	
               2.000	             0.43391	             0.19916	             0.12694	             0.10959	           183.82051	           120.64108	           105.82596	           102.36500	            42.63375	            33.89550	            40.03818	            49.24283	             0.42893	           133.93777	
               2.050	             0.41063	             0.19337	             0.12227	             0.10548	           173.38720	           117.98509	           104.58866	           101.52862	            42.41323	            34.46859	            40.26853	            49.42331	             0.40615	           129.99511	
               2.100	             0.38769	             0.18658	             0.11792	             0.10179	           163.04734	           115.19896	           103.43581	           100.94318	            41.95569	            35.02479	            40.63954	            49.91547	             0.38286	           125.53102	
               2.150	             0.36498	             0.18144	             0.11364	             0.09879	           152.96020	           112.65432	           102.42326	           100.76323	            41.42733	            35.49155	            40.98770	            50.68727	             0.36066	           121.06763	
               2.200	             0.34279	             0.17547	             0.10928	             0.09572	           143.23593	           110.26347	           101.50732	           100.59281	            40.69491	            35.96656	            41.33275	            51.54601	             0.33836	           116.22430	
               2.250	             0.32143	             0.16926	             0.10569	             0.09322	           133.94671	           108.05570	           100.65246	           100.51629	            39.91262	            36.43549	            41.66250	            52.36688	             0.31727	           111.45698	
               2.300	             0.30040	             0.16306	             0.10263	             0.09074	           134.08512	           106.00044	            99.92047	           100.42684	            38.97717	            36.85561	            42.15377	            53.14883	             0.29651	           106.47851	
               2.350	             0.28068	             0.15775	             0.10128	             0.08851	           135.16221	           103.86565	            99.42286	           100.35982	            37.96859	            37.33423	            43.31617	            53.92889	             0.27668	           101.51636	
               2.400	             0.26145	             0.15195	             0.09937	             0.08660	           136.18009	           101.92068	            99.05561	           100.31845	            36.87532	            37.73622	            44.72025	            55.00226	             0.25763	            96.53928	
               2.450	             0.24283	             0.14765	             0.09816	             0.08452	           136.85657	           100.08408	            98.64919	           100.22466	            35.66172	            38.17964	            46.08050	            56.33156	             0.23909	            91.45674	
               2.500	             0.23575	             0.14381	             0.09697	             0.08319	           137.19752	            98.35588	            98.21783	           100.10335	            36.11060	            38.60097	            47.44681	            57.64536	             0.23251	            90.75576	
               2.550	             0.22952	             0.14011	             0.09580	             0.08187	           137.23908	            96.71770	            97.72853	            99.95140	            36.56596	            39.00430	            48.81193	            59.04271	             0.22630	            90.09824	
               2.600	             0.22347	             0.13652	             0.09436	             0.08031	           137.01218	            96.39846	            96.53337	            98.85267	            36.99654	            39.38869	            49.92910	            60.11135	             0.22024	            89.40613	
               2.650	             0.21773	             0.13304	             0.09281	             0.07885	           136.55340	            95.94330	            95.00202	            97.87813	            37.44039	            39.75800	            50.98616	            61.21649	             0.21455	            88.77158	
               2.700	             0.21222	             0.12971	             0.09148	             0.07743	           136.11809	            95.33558	            93.57689	            97.03356	            37.87001	            40.12430	            52.12214	            62.40020	             0.20905	            88.12744	
               2.750	             0.20683	             0.12656	             0.09016	             0.07616	           135.46765	            94.60701	            94.08053	            96.29202	            38.27175	            40.48486	            53.16898	            63.56700	             0.20366	            87.44301	
               2.800	             0.20156	             0.12347	             0.08899	             0.07494	           134.62232	            93.77881	            95.33860	            95.64953	            38.64497	            40.82084	            54.22864	            64.74475	             0.19837	            86.71904	
               2.850	             0.19640	             0.12046	             0.08776	             0.07398	           133.60073	            92.85958	            96.58709	            95.95826	            38.98908	            41.13132	            55.39229	            66.16119	             0.19317	            85.95629	
               2.900	             0.19135	             0.11751	             0.08658	             0.07321	           132.42024	            93.94129	            97.77344	            96.52038	            39.33405	            41.41532	            56.54978	            67.83324	             0.18822	            85.22169	
               2.950	             0.18640	             0.11458	             0.08543	             0.07253	           131.09710	            96.38885	            98.89503	            97.07255	            39.66260	            41.69487	            57.72835	            69.54066	             0.18341	            84.47703	
